offset
memset
errorn
ret
lmins
crc32
language
mday
%lu
load3
distance
stdioh
width
ascii
ttime
Ignoring
argument
inbuf
override
datastream
struct
transformed
cannot
version
bgr
itag
pause
transforms
ptr
changed
gray-alpha
bit
%lu%s
Mar
zlib
Pehrsonn
Color
name
ferror
lang
avg4
msb
Truncated
samplesn
sshift
sizen
igamma
readbuf
ignore
startx
decompress
readswrites
Aug
convert
code
Palette
fpout
limit
pngoutpng
Testing
features
opaque
entries
build
pngdebugh
Init2
point
access
calloc
units
channel
defaultn
inappropriate
need
IFx
adler
dec
ptrdiff
tpp
YZtemp
idat
costs
memcmp
library
comp
find
base
abort
factor
loc
right
mode
requested
libpng-
bytepp
gmtime
Link
passes
present
pngc
dp32
matches
format
get
conversion
heighti
defined
epu8
fmax
color
const
bits
pointers
pnginfoh
avg
Compression
itxt
dist
fread
istop
stddefh
pos
wrote
Copyright
filler
charpp
colors
default
AM7
statep
entrybuf
range
Abstract
checks
stdlibh
create
-mv
iout
char
newlength
Saving
cmplt
sample
outchannels
key
channels
owner
gtest
ppm
errmsg
handling
truelen
inch
Error
element
zlibh
tbuf
output
colorpp
dsortp
required
max
remaining
method
avail
limitsh
failed
stream
R32
skip
sheight
bluey
fpin
reset
paeth3
ptime
Trutan
n%s
depth
i16
function
expects
grayscale
temp
iheight
encoding
abs
unshift
checksum
illuminant
broken
1995-1996
aligncast
Jul
params
XIf
screen
display
ratio
handle
kerror
count
discard
compare
store
months
Feb
row
si32
transparent
remove
denominator
lsb
muldiv
Was
chunkpp
progressive
Guy
flush
grayscalealpha
read
precision
left
phys
ishift
digit
White
supported
foreground
permitted
intent
multiplied
set
typebit
tran
stringh
parameter
aspect
make
unlimitedn
pngprivh
setup
num
V65535
allowed
string
pixels
points
def
pngtest
coefficients
whitex
store3
match
mult
Uninitialized
colorp
Jan
Profile
textp
trans
warnings
len
debug2
transparency
mincount
fixed
place
destroying
ancil
gray8
calc
histogram
lost
outbuf
dummy
Wrote
custom
cvtsi32
unknowns
stdio
handlingwrite
ptruint
sort
array
calls
memory
height
1996-1997
sub
structpp
quantize
pngstructh
Warning
md5
Missing
mask
stdout
dots
M->
insufficient
czero
atof
entry
preserve
return
ppi
chunked
keep
padding
flag
ndigits
strerror
safecat
exceeds
warn
image
packswap
stride
min
input
running
start
%sn
coeff
doublepp
textpp
Reset2
attribute
application
infopng
checking
out-of-range
init
splt
checked
usr
length
truncated
redx
Schalnat
using
map
swap
samples
divided
execute
location
error
class
fwrite
controlp
lengthh
--xfail
outrow
year
strip
structsn
avg3
inc
sec
chunklength
compression
prev
Incn
save
allocated
errors
begin
dwhite
modf
nlibpng
voidpf
Insufficient
indexed
alphabyte
spare
tst
correct
sig
pngtestpng
writing
xy1
added
IFg
End
m128i
requires
HYs
jump
header
preferred
structrp
sp32
bound
sbit
fflush
report
Default
check
longjmp
scale
inches
%snn
argv
Application
D50
voidp
half
iin
Level
store4
incorrect
uint
rgbalpha
mono
yinc
chromaticities
fopen
realloc
zfree
beyond
edited
mem
divisor
listp
andnot
calculation
color-mapped
dsp
formatted
coefficient
Decompression
imagep
add
Image
stepx
pngcn
keyword
character
meter
returned
allocate
set1
app
benign
dptr
parm
jmp
load4
voidcast
maximum
corrupted
frequency
gamma
colormap
argc
byte
purpose
pack
uexp
%lun
epi16
ignored
duplicate
lzsize
limitsn
product2
EXt
palette
question
fprintf
indexes
outfilepngnt%s
cvtsi128
control
found
chunks
imagepng
rgb
nstop
filter
functions
strlen
implemented
options
fclose
Row
tag
1998-200220042006-2018
errno
copy
bytep
zowner
Interlace
uval
compress
specifier
alloc
constcast
normalize
icc
used
invert
interlace
8-bit
parameters
translated
terminate
logic
flags
done
spalettes
finished
preserved
paletted
dsort
--strict
bufsize
ATs
Gray
pow10
called
files
lostgained
size
alpha
intrapixel
%d%s
allocation
built
aindex
%c%c
use
dsortpp
U32
inconsistent
gammabackgroundrgb
int
Out
attempt
arg
Oct
blue
{infilepng}n
debug1
chop
verbose
whitey
compression%d%dn
strncpy
test
outside
unpack
iptr
jmpbuf
iwidth
IFt
strategy
packus
turned
data
ierror
per
packing
Device
rendering
outlist
weights
pal
maxbits
endpoints
zalloc
%dn
setjmp
endptr
rgbga
vpag
failure
msg
Byte
setting
lengthw
number
reason
aligncastconst
info
xor
unit
filters
chunkp
Nov
isaligned
freer
rfc1123
message
optimize
--relaxed
processing
Libpng
integer
floor
hour
calculate
setzero
inverse
conflicting
change
result
tptr
expected
chunk
step
rgbgray
cinfo
inrow
2018-2020
Randers-
non-positive
day
clead
owned
FFs
minute
compressed
handled
please
callback
damaged
dp16
Int
space
colormapped
elements
xy2
byte-order
nentries
stepy
Unrecognized
zero-length
Reset
known
si128
exceeding
16-bit
hist
pend
crc
png
without
multibyte
Apr
Jun
digits
strict
dpi
sum
delta
Validate
Bits
signed
pixel
threshold
Andreas
ILn
architecture
transformation
nrows
proflen
intents
Call
Write
sub4
buffer
crit
usage
equation
rowbytes0
windows
stereo
month
status
inlist
unpacklo
option
infopp
shift
pnglibconfh
skipped
end
onoff
V257
infop
reciprocal2
filtering
pngh
Blue
exit
colorspacerp
doublep
multiple
cur
mod
saved
zbuffer
inforp
value
sub3
rgb-alpha
srgb
swidth
cmf
cmpeq
bluex
filtered
colorspace
infilepng
pngconfh
cdigits
rptr
window
Glenn
cmap
time
supplied
sync
Pass
git
heuristics
val
correction
lookup
push
power
microns
gray16
field
values
Sep
translate
mon
Too
expand
req
Group
entryp
charppp
strcmp
ystart
deflate
background
entrypp
cache
RAc
Bytef
combine
copyright
inname
tmp
Cant
adler32
nelements
Named
nongray
dshift
nonconst
ga-alpha
process
items
Unknown
level
wlen
Writing
paeth4
relaxed
frexp
palettes
call
filen
unpremultiply
work
reduced
Read
information
malloc
zero
retval
compose
exif
malformed
recip
alphatransparency
profiles
pow
background8
differentn
ver
res
redy
system
extension
color-map
user
try
dmax
zstream
epi8
testn
transformations
exp
alignof
jstop
missing
rows
structure
greenx
encode
Cosmin
claim
Text
exponent
clang
iccp
rebuilt
permit
inflate
Memory
orig
request
recognizing
handlingread
bpp
mins
profile
greeny
pass
limits
images
b10
Dec
type
written
nparams
paeth
pointer
cmp
state
rtran
tmpbuf
readcolor-map
bufferp
linear
prefix
bytes
overflow
supply
outname
stderr
gray
destroy
table
forcing
debug
sp16
decode
rowbytes
proc
file
hash
mismatch
May
embedded
fill
-vm
estimate
finish
str
TXt
structp
support
mng
hlen
scrn
whereami
Files
Dilgern
transform
memcpy
text
versions
action
libpng
grayalpha
specified
timepp
index
combination
sse2
component
xfail
charp
write
buf
restore
warning
out-of-date
signature
jend
times
-mn
timep
spalette
bytesn
ignoring
