"#comment tokens","#prog. conc","#prob. conc","descriptive","operative","conditional","#scope_symbols","#scope_functions","scope_compound_statement1s","scope_param","scope_line_numbers","prog_dom_match_identifiers","prob_dom_match_identifiers","copyright_license_comments","libraries"
2,1,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,6,6,0,0,0
4,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
6,1,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,4,3,0,0,0
13,7,0,1.1,1.9000000000000001,0,0.30000000000000004,0.1,0.1,0.1,11,2,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
6,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
5,0,0,1.8,0.2,0,0.30000000000000004,0.1,0.1,0.1,3,0,0,0,0
6,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,17,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
5,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,1,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,1,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.0,0.0,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,0,0,0.1,0.9,1,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
22,1,0,2.8000000000000003,1.2000000000000002,0,0.30000000000000004,0.1,0.1,0.1,9,0,0,0,0
2,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,3,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,9,0,0,0,0
5,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
7,2,0,1.0,1.0,0,0.30000000000000004,0.1,0.1,0.1,7,3,0,0,0
7,1,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,2,0,0,0,0
3,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
15,7,0,1.9000000000000001,1.1,0,0.30000000000000004,0.1,0.1,0.1,21,5,0,0,0
3,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
5,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,3,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,7,0,0,0,0
7,3,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,12,0,0,0,0
2,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,3,0,0,0,0
13,0,0,1.0,1.0,0,0.30000000000000004,0.1,0.1,0.1,8,0,0,0,0
11,4,0,0.2,1.8,1,0.30000000000000004,0.1,0.1,0.1,83,35,0,0,0
4,1,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,2,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,6,0,0,0,0
6,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,6,1,0,0,0
5,1,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,17,4,0,0,0
3,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,24,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,3,0,0,0,0
3,2,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,3,1,0,0,0
4,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
6,3,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,7,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,3,0,0,0,0
7,2,0,0.2,1.8,0,0.30000000000000004,0.1,0.1,0.1,5,0,0,0,0
5,1,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
